year,gas_inflation_adjusted_revenue_requirement,electric_inflation_adjusted_revenue_requirement,gas_nonconverts_bill_per_user,gas_converts_bill_per_user,electric_nonconverts_bill_per_user,electric_converts_bill_per_user,gas_variable_cost_per_therm,electric_variable_cost_per_kwh,gas_ratebase,electric_ratebase,gas_depreciation_expense,electric_depreciation_expense
2025,8931.98448275862,30026.19565217391,19.84885440613027,0.0,54.59308300395256,706.0073811867586,0.4410856534695615,1.4818122529644266,75668.96551724138,267391.30434782605,0.0,0.0
2026,10768.264305953337,38796.438367497016,23.929476235451858,0.0,70.53897884999458,912.2225195793983,0.5317661385655968,1.9146294259284242,74203.44170771756,260584.98023715414,2700.55829228243,12154.150197628458
2027,10000.487121523995,35860.206182596296,22.223304714497765,0.0,65.20037487744781,843.1827511241512,0.4938512158777281,1.7697244609592977,72673.73142857142,253399.4466403162,2742.7619047619046,12397.233201581028
2028,9283.07505995255,33112.24553343541,20.629055688783446,0.0,60.20408278806438,778.5698203355689,0.4584234597507433,1.634110818533176,71079.65698479943,245833.30693496228,2784.1804152005625,12634.128638160259
2029,8613.01401229724,30542.485441713234,19.140031138438314,0.0,55.53179171220587,718.1469278169269,0.4253340252986292,1.5072914893313023,69421.07240158175,237885.48130219185,2824.779437989678,12864.491771469637
2030,7987.450249856719,28141.256749218617,17.74988944412604,0.0,51.16592136221567,661.6867221865846,0.39444198764724536,1.3887892941172824,67697.86399527869,229555.21433227972,2864.524492326773,13087.976595955966
2031,7403.683371335366,25899.287215899654,16.45262971407859,0.0,47.08961311981755,608.9711848186523,0.3656139936461909,1.2781466418236191,65909.9509359993,220842.08249451287,2903.3810192085725,13304.236124412504
2032,6859.159438048852,23807.69546858257,15.24257652899745,0.0,43.28671903378648,559.7914875589277,0.33872392286661,1.1749252309170617,64057.28580130944,211746.00146150673,2941.3143987298527,13512.922682896395
2033,6351.464304294071,21857.983960291076,14.11436512065349,0.0,39.741789018711046,513.9478271770338,0.3136525582367442,1.0787057019364428,62139.85512064542,202267.23327829994,2978.289967683662,13713.68821243686
2034,5878.317148288998,20042.031085801053,13.062926996197774,0.0,36.440056519638276,471.24923997907666,0.29028726658217274,0.9890872483901818,60157.679909996936,192406.39336646406,3014.273037458173,13906.184577401866
2035,5437.564207554896,18352.08258578228,12.083476016788657,0.0,33.36742288324051,431.5133996928177,0.2685216892619702,0.9056871925450994,58110.8161964217,182164.45735341124,3049.228912225185,14090.063880382138
2036,5027.172721249495,16780.742359567274,11.171494936109989,0.0,30.51044065375868,394.56640144786536,0.24825544302466643,0.8281405320305927,55999.355531952955,171542.76771703686,3083.122907415064,14264.97878344256
2037,4645.225080750868,15320.962795186408,10.322722401668596,0.0,27.856295991248015,360.2425344053263,0.229393831148191,0.7560994626195889,53823.425496459575,160543.04023579563,3115.920368472671,14430.582835582025
2038,4289.913188723985,13966.034714762969,9.533140419386632,0.0,25.392790390478126,328.3840453433962,0.2118475648752585,0.6892328820272634,51583.19018901788,149167.37023427765,3147.586689888598,14586.530806233877
2039,3959.533025963063,12709.577023617212,8.798962279917918,0.0,23.108321861122203,298.84089527624633,0.19553249510928708,0.6272258790876026,49278.850707353326,137418.23861433312,3178.0873344997963,14732.479024630054
2040,3652.4794244810773,11545.526142434288,8.116620943291283,0.0,20.991865713516887,271.4705109720798,0.18036935429536186,0.5697792122240298,46910.64561491021,125298.51766177679,3207.3878530534366,14868.085724843035
2041,3367.241044602619,10468.125293558749,7.482757876894708,0.0,19.032955079197723,246.13753304125962,0.16628350837543796,0.5166087807210811,44478.85139510623,112811.4766187017,3235.453904027614,14993.01139631061
2042,3102.39555319792,9471.913704842553,6.894212340439823,0.0,17.221661281531915,222.71356208586823,0.1532047186764405,0.46744509192729483,41983.78289233057,99960.78701143624,3262.251273702268,15106.919139639498
2043,2856.604999665025,8551.715787450916,6.3480111103667225,0.0,15.548574159001664,201.07690423693612,0.14106691356370493,0.4220327271729023,39425.79373924207,86750.52772419028,3287.7458964734556,15209.475027474682
2044,2628.6113858157214,7702.630337579991,5.841358635146047,0.0,14.00478243196362,181.11231725391113,0.12980796966991218,0.38012980886758396,36805.27676992682,73185.18980846171,3311.9038754038706,15300.348470212351
2045,2417.232425441036,6920.019806123891,5.371627612091191,0.0,12.581854192952528,162.71075822182328,0.11936950249091535,0.34150747095156864,34122.66441847344,59269.68101830572,3334.691503002274,15379.212586325251
2046,2221.357489016981,6199.499674909227,4.936349975593291,0.0,11.271817590744048,145.76913375417695,0.10969666612429536,0.3059493346059099,31378.429102526294,45009.3300616116,3356.0752822242584,15445.744577060217
2047,2039.943728754201,5536.927973159151,4.533208286120447,0.0,10.067141769380276,130.19005349306644,0.1007379619137877,0.2732509908831789,28573.083591377646,30409.89055758517,3376.021947686536,15499.626105258676
2048,1872.0123789903605,2832.4913157970186,4.160027508867468,0.0,5.149984210540032,66.60050441506084,0.09244505575261039,0.13978528571465804,25707.181358161608,27631.694888323367,3394.498487086699,3386.3934804135033
2049,1716.6452267660325,2578.82333790071,3.814767170591183,0.0,4.6887697052740185,60.63599706154445,0.08477260379091518,0.12726660628600905,22781.316915713858,25013.372954576556,3411.4721628201746,3170.9558315132845
