year,gas_inflation_adjusted_revenue_requirement,electric_inflation_adjusted_revenue_requirement,gas_nonconverts_bill_per_user,gas_converts_bill_per_user,electric_nonconverts_bill_per_user,electric_converts_bill_per_user,gas_variable_cost_per_therm,electric_variable_cost_per_kwh,gas_ratebase,electric_ratebase,gas_depreciation_expense,electric_depreciation_expense
2025,8426.784482758621,1190033.5386521742,33.70713793103449,0.0,477.3939292795625,5114.728317021636,0.7490475095785442,10.548830346553281,75568.96551724138,751391.304347826,0.0,0.0
2026,9799.160740061865,1230034.2574083237,195.9832148012373,0.0,321.4583559592417,2954.5387600360937,4.355182551138607,5.98963028089178,74003.60837438423,1225896.0913482653,2698.8916256157636,39043.03908651735
2027,8834.96620076889,718344.0934533853,-176.69932401537778,0.0,165.21873924016785,1420.1663129827534,-3.926651644786173,2.8547065926973008,72374.2875,1439730.1355292052,2739.375,67421.67764602546
2028,7939.789077287234,718173.2171777488,-52.931927181914894,0.0,149.6633388137741,1209.4273068640623,-1.1762650484869976,2.410710414996795,70680.88202229943,1650165.3324905178,2779.019790200563,82799.33974927137
2029,7109.360705874385,715512.3356126732,-28.437442823497538,0.0,137.80693348839816,1051.690536622761,-0.6319431738555008,2.078867357817419,68923.30352270122,1856742.4783888585,2817.791729932706,98799.29277146963
2030,6339.647685677018,710641.4176950535,-18.113279101934335,0.0,128.30445242260498,928.3969135008809,-0.4025173133763186,1.8200196336457175,67101.49658738279,2058990.370195724,2855.656488158938,115431.28374151152
2031,5626.8405918691205,703818.1840250299,-12.5040902041536,0.0,120.3878788361587,828.8377129085391,-0.27786867120341335,1.6115545017473139,65215.43934971887,2256425.8060227083,2892.579686474671,132705.02733694887
2032,4967.343110027719,695279.5515049782,-9.031532927323125,0.0,113.58909444913405,746.3946440070885,-0.2007007317182917,1.4394817855467434,63265.144023175315,2448553.5910471356,2928.5269167893402,150630.20652884498
2033,4357.76158619265,685243.0011211619,-6.704248594142538,0.0,107.60816884721947,676.7522672610296,-0.1489833020920564,1.294667158956499,61250.65742422484,2634866.548990364,2963.463759298118,169216.47357351717
2034,3794.894986022497,673907.8718335975,-5.05985998136333,0.0,102.24523441731056,616.9727285040412,-0.1124413329191851,1.1708823552125156,59172.06148484911,2814845.5390901887,2997.355800739105,188473.4513666602
2035,3275.725255573008,661456.5835175316,-3.853794418321186,0.0,97.36282110682123,564.9836148828058,-0.08563987596269301,1.063725840668836,57029.47375419119,2987959.4784976617,3030.168652930654,208410.73517560828
2036,2797.408075473276,648055.7918674292,-2.9446400794455534,0.0,92.86388029791767,519.2786358004707,-0.06543644620990119,0.9699919257393901,54823.0478889208,3153665.37001717,3061.867971583252,229037.89476576127
2037,2357.2639996457583,633857.4781329054,-2.2450133329959603,0.0,88.67838148141757,478.73462702683463,-0.049889185177688006,0.8872849822407475,52552.97413187447,3311408.3350968203,3092.41947538014,250364.4769374686
2038,1952.7699691972366,618999.9765068084,-1.6980608427802057,0.0,84.75482890661237,442.4953417867197,-0.03773468539511568,0.8137743934179938,50219.47977853195,3460621.651964104,3121.788965320633,272400.0084899313
2039,1581.5511916880519,603608.9419298016,-1.2652409533504414,0.0,81.05472130320625,409.8952184873463,-0.028116465630009812,0.7480337465077066,47822.82963089008,3600726.7987893745,3149.9423443198516,295153.9996289489
2040,1241.3733756565348,587798.2610143514,-0.9195358338196554,0.0,77.5488356294893,380.4079475284516,-0.020434129640436786,0.6889322880780023,45363.32643829508,3731133.5017469414,3176.845637058351,318635.9478356047
2041,930.1353100253004,571670.9087248805,-0.6414726276036555,0.0,74.21467645606518,353.61090628450967,-0.014254947280081233,0.6355598241346399,42841.31132479462,3851239.787830539,3202.465010074899,342855.3422132478
2042,645.8617778374933,555319.7533808778,-0.41668501795967305,0.0,71.0346903930682,329.1600272254133,-0.009259667065770513,0.5871736128386298,40257.16420257111,3960432.042266518,3226.766792095414,367821.66833039635
2043,386.69679365656964,538828.3124766971,-0.23436169312519373,0.0,67.99499453601568,306.771692384534,-0.005208037625004305,0.5431600712194163,37611.30417101884,4058085.0703544538,3249.7174945908396,393544.41357745137
2044,150.89715390557316,516079.141211217,-0.08622694508889896,0.0,64.31278249315847,282.81601469314927,-0.0019161543353088655,0.4970427693857821,34904.18990102762,4170451.052439716,3271.2838325565026,393144.1841664848
2045,-63.173710585244585,494605.56068750663,0.03414795166769977,0.0,60.9254322163701,261.402203072241,0.0007588433703933284,0.4560368667339335,32136.320004037774,4298226.2807082115,3291.4327455052626,392712.71157029807
2046,-257.05159051621945,477162.0453496185,0.1318213284698561,0.0,58.14664040687153,243.63888754263783,0.0029293628548856918,0.42195064708043745,29308.23338543181,4427859.110923305,3310.131418666527,406522.98175276845
2047,-432.1770731586778,460239.7365159731,0.2108180844676477,0.0,55.52452678708691,227.405025500317,0.004684846321503283,0.3909871640051503,26420.509581830313,4559363.338321099,3327.347304382976,420749.97976498137
2048,-589.9008470043657,441734.58914218575,0.27437248697877475,0.0,52.795218006229774,211.5249177134449,0.006097166377306105,0.3610722309775109,23473.769081861163,4704908.279585869,3343.0481436966,423250.2611942903
2049,-731.488746389818,426063.6743765236,0.32510610950658575,0.0,50.47801520987122,197.99681743620243,0.007224580211257462,0.3355701115118435,20468.67362997365,4853282.586671221,3357.201988115438,437660.0322697833
