year,gas_inflation_adjusted_revenue_requirement,electric_inflation_adjusted_revenue_requirement,gas_nonconverts_bill_per_user,gas_converts_bill_per_user,electric_nonconverts_bill_per_user,electric_converts_bill_per_user,gas_variable_cost_per_therm,electric_variable_cost_per_kwh,gas_ratebase,electric_ratebase,gas_depreciation_expense,electric_depreciation_expense
2025,96426.78448275861,90033.5386521739,385.7071379310344,0.0,36.11786003341153,386.96143820239934,8.571269731800765,0.7980855109489687,1175568.9655172413,751391.304347826,0.0,0.0
2026,229841.22792352442,176080.7690362309,4596.824558470488,0.0,46.017120409058535,422.9455024371802,102.15165685489974,0.857422221982891,2262392.497263273,1225896.0913482653,63810.00273672687,39043.03908651735
2027,303165.0473943785,213426.84088442914,-6063.30094788757,0.0,49.08805388990856,421.94487637986737,-134.74002106416822,0.8481603945573117,2752439.1684523807,1439730.1355292052,127384.21626984127,67421.67764602546
2028,340586.31603458227,234392.03564656284,-2270.5754402305483,0.0,48.8460079088962,394.72389340334604,-50.4572320051233,0.7867897437695983,3233713.00483976,1650165.3324905178,161012.6011394069,82799.33974927137
2029,371765.8889740782,251982.4593548858,-1487.0635558963127,0.0,48.53156023764111,370.37456198647413,-33.04585679769584,0.7321161123614712,3705372.542734294,1856742.4783888585,195876.00267806195,98799.29277146963
2030,397327.0189488343,266515.1176527082,-1135.2200541395264,0.0,48.118608599661535,348.18096225327946,-25.2271123142117,0.682570329723555,4166554.9758374314,2058990.370195724,231998.8959028769,115431.28374151152
2031,417842.2526753833,278283.2174728293,-928.5383392786296,0.0,47.60025675333211,327.71478592943936,-20.63418531730288,0.6371937839320103,4616375.883276641,2256425.8060227083,269406.180289302,132705.02733694887
2032,433837.0350306569,287557.67657589295,-788.7946091466489,0.0,46.978824579912555,308.69814763685355,-17.528769092147755,0.5953490748133639,5053928.952914567,2448553.5910471356,308123.1945949026,150630.20652884498
2033,445793.0858189149,294588.5535146893,-685.8355166444844,0.0,46.26115809311527,290.93835496900243,-15.24078925876632,0.5565823000248795,5478285.699646358,2634866.548990364,348175.7323251163,169216.47357351717
2034,454151.5616443583,299606.4011036751,-605.5354155258111,0.0,45.45625298963128,274.29413795577943,-13.456342567240247,0.5205516409929066,5888495.178385005,2814845.5390901887,389590.05786213255,188473.4513666602
2035,459316.0148518272,302823.5464460711,-540.3717821786202,0.0,44.57398340911749,258.6569492330071,-12.00826182619156,0.4869877170239512,6283583.691421497,2987959.4784976617,432392.92327855097,208410.73517560828
2036,461655.16095527646,304435.30053384363,-485.9528010055542,0.0,43.62439725408514,243.94002728558283,-10.79895113345676,0.4556703097690724,6662554.489833224,3153665.37001717,476611.58585804194,229037.89476576127
2037,461505.4654453772,304621.10039002815,-439.5290147098831,0.0,42.61731868691788,230.07170209506674,-9.767311437997401,0.42641403939238587,7024387.468600298,3311408.3350968203,522273.8263458203,250364.4769374686
2038,459173.5603542662,303545.5866694468,-399.2813568297967,0.0,41.56212478183069,216.9911360564806,-8.872919040662149,0.3990591842355605,7368038.855075324,3460621.651964104,569407.9679523404,272400.0084899313
2039,454938.500457702,301359.61957400397,-363.95080036616156,0.0,40.46762444989079,204.64552217139902,-8.08779556369248,0.3734655827916745,7692440.890437527,3600726.7987893745,618042.8961342376,295153.9996289489
2040,449053.8685130718,298201.2358734476,-332.632495194868,0.0,39.34199904803043,192.98818593526977,-7.391833226552622,0.34950845105165496,7996501.503747338,3731133.5017469414,668208.0791771723,318635.9478356047
2041,441749.73846607393,294196.5497526656,-304.65499204556824,0.0,38.19278088347213,181.97726523439627,-6.7701109343459605,0.3270754284818905,8279103.978202,3851239.787830539,719933.5896058824,342855.3422132478
2042,433234.50510965165,289460.6001330812,-279.5061323288075,0.0,37.02685522397118,171.57477010391966,-6.2112473850846115,0.3060644346249396,8539106.609177077,3960432.042266518,773250.1264474164,367821.66833039635
2043,423696.5882459183,284098.1470392734,-256.7858110581323,0.0,35.85047687423254,161.745898187778,-5.706351356847384,0.28638207422671297,8775342.35362248,4058085.0703544538,828189.0383742012,393544.41357745137
2044,399077.9098867482,272012.09897815046,-228.04451993528468,0.0,33.897620655684534,149.06507866364996,-5.067655998561881,0.26197851489449187,9047729.58147603,4170451.052439716,823671.2366431939,393144.1841664848
2045,376520.8711123777,260755.27836187085,-203.52479519587982,0.0,32.11979261780702,137.81083280131875,-4.522773226575107,0.24042192320521136,9357799.484184928,4298226.2807082115,819007.2200814189,392712.71157029807
2046,362372.8499341219,253100.84460970698,-185.83223073544713,0.0,30.842695771020356,129.23326324420609,-4.12960512745438,0.2238150879779661,9674703.929534866,4427859.110923305,846624.5613530608,406522.98175276845
2047,348667.1949021423,245557.84185354633,-170.08155848884988,0.0,29.62474094694621,121.33043468003655,-3.7795901886411087,0.20860859366977139,9998590.241551716,4559363.338321099,875091.121799601,420749.97976498137
2048,335397.0936280876,236039.37844237214,-155.9986481991105,0.0,28.210945552440798,113.02762185572145,-3.4666366266469004,0.19293772112851074,10329610.620202506,4704908.279585869,904431.0560921216,423250.2611942903
2049,322555.2056487492,228978.96086879517,-143.35786917722186,0.0,27.128347626418595,106.40922528355374,-3.185730426160486,0.18034509875794638,10667922.325434204,4853282.586671221,934669.2126245594,437660.0322697833
