year,gas_inflation_adjusted_revenue_requirement,electric_inflation_adjusted_revenue_requirement,gas_nonconverts_bill_per_user,gas_converts_bill_per_user,electric_nonconverts_bill_per_user,electric_converts_bill_per_user,gas_variable_cost_per_therm,electric_variable_cost_per_kwh,gas_ratebase,electric_ratebase,gas_depreciation_expense,electric_depreciation_expense
2025,1108426.7844827585,90033.5386521739,4433.707137931034,0.0,36.11786003341153,386.96143820239934,98.52682528735632,0.7980855109489687,75568.96551724138,751391.304347826,0.0,0.0
2026,1063752.649112155,176080.7690362309,21275.052982243098,0.0,46.017120409058535,422.9455024371802,472.77895516095776,0.857422221982891,74003.60837438423,1225896.0913482653,2698.8916256157636,39043.03908651735
2027,513752.21876972506,213426.84088442914,-10275.044375394502,0.0,49.08805388990856,421.94487637986737,-228.33431945321115,0.8481603945573117,72374.2875,1439730.1355292052,2739.375,67421.67764602546
2028,491720.9706084732,234392.03564656284,-3278.1398040564877,0.0,48.8460079088962,394.72389340334604,-72.84755120125529,0.7867897437695983,70680.88202229943,1650165.3324905178,2779.019790200563,82799.33974927137
2029,470639.2369636619,251982.4593548858,-1882.5569478546477,0.0,48.53156023764111,370.37456198647413,-41.834598841214394,0.7321161123614712,68923.30352270122,1856742.4783888585,2817.791729932706,98799.29277146963
2030,450465.94772802235,266515.1176527082,-1287.0455649372068,0.0,48.118608599661535,348.18096225327946,-28.60101255416015,0.682570329723555,67101.49658738279,2058990.370195724,2855.656488158938,115431.28374151152
2031,431161.8071440697,278283.2174728293,-958.1373492090438,0.0,47.60025675333211,327.71478592943936,-21.291941093534305,0.6371937839320103,65215.43934971887,2256425.8060227083,2892.579686474671,132705.02733694887
2032,412689.21803911304,287557.67657589295,-750.3440327983874,0.0,46.978824579912555,308.69814763685355,-16.67431183996416,0.5953490748133639,63265.144023175315,2448553.5910471356,2928.5269167893402,150630.20652884498
2033,395012.209192665,294588.5535146893,-607.7110910656385,0.0,46.26115809311527,290.93835496900243,-13.504690912569744,0.5565823000248795,61250.65742422484,2634866.548990364,2963.463759298118,169216.47357351717
2034,378096.365715945,299606.4011036751,-504.12848762126004,0.0,45.45625298963128,274.29413795577943,-11.202855280472445,0.5205516409929066,59172.06148484911,2814845.5390901887,2997.355800739105,188473.4513666602
2035,361908.7623270337,302823.5464460711,-425.77501450239254,0.0,44.57398340911749,258.6569492330071,-9.461666988942056,0.4869877170239512,57029.47375419119,2987959.4784976617,3030.168652930654,208410.73517560828
2036,346417.89940905885,304435.30053384363,-364.65042043058827,0.0,43.62439725408514,243.94002728558283,-8.103342676235295,0.4556703097690724,54823.0478889208,3153665.37001717,3061.867971583252,229037.89476576127
2037,331593.6417425231,304621.10039002815,-315.8034683262125,0.0,42.61731868691788,230.07170209506674,-7.017854851693611,0.42641403939238587,52552.97413187447,3311408.3350968203,3092.41947538014,250364.4769374686
2038,317407.15980655886,303545.5866694468,-276.00622591874685,0.0,41.56212478183069,216.9911360564806,-6.133471687083263,0.3990591842355605,50219.47977853195,3460621.651964104,3121.788965320633,272400.0084899313
2039,303830.8735474857,301359.61957400397,-243.06469883798854,0.0,40.46762444989079,204.64552217139902,-5.401437751955301,0.3734655827916745,47822.82963089008,3600726.7987893745,3149.9423443198516,295153.9996289489
2040,290838.3985165603,298201.2358734476,-215.43585075300766,0.0,39.34199904803043,192.98818593526977,-4.787463350066837,0.34950845105165496,45363.32643829508,3731133.5017469414,3176.845637058351,318635.9478356047
2041,278404.49428224016,294196.5497526656,-192.00309950499323,0.0,38.19278088347213,181.97726523439627,-4.266735544555405,0.3270754284818905,42841.31132479462,3851239.787830539,3202.465010074899,342855.3422132478
2042,266505.015025634,289460.6001330812,-171.9387193713768,0.0,37.02685522397118,171.57477010391966,-3.8208604304750398,0.3060644346249396,40257.16420257111,3960432.042266518,3226.766792095414,367821.66833039635
2043,255116.86223108025,284098.1470392734,-154.61628014004864,0.0,35.85047687423254,161.745898187778,-3.435917336445525,0.28638207422671297,37611.30417101884,4058085.0703544538,3249.7174945908396,393544.41357745137
2044,244217.939386972,272012.09897815046,-139.55310822112685,0.0,33.897620655684534,149.06507866364996,-3.101180182691708,0.26197851489449187,34904.18990102762,4170451.052439716,3271.2838325565026,393144.1841664848
2045,233787.1086150505,260755.27836187085,-126.37141006218945,0.0,32.11979261780702,137.81083280131875,-2.8082535569375437,0.24042192320521136,32136.320004037774,4298226.2807082115,3291.4327455052626,392712.71157029807
2046,223804.14914939526,253100.84460970698,-114.77135853815142,0.0,30.842695771020356,129.23326324420609,-2.5504746341811426,0.2238150879779661,29308.23338543181,4427859.110923305,3310.131418666527,406522.98175276845
2047,214249.71758926817,245557.84185354633,-104.51205736061861,0.0,29.62474094694621,121.33043468003655,-2.3224901635693027,0.20860859366977139,26420.509581830313,4559363.338321099,3327.347304382976,420749.97976498137
2048,205105.30985280924,236039.37844237214,-95.39781853619034,0.0,28.210945552440798,113.02762185572145,-2.1199515230264523,0.19293772112851074,23473.769081861163,4704908.279585869,3343.0481436966,423250.2611942903
2049,196353.22476133864,228978.96086879517,-87.26809989392828,0.0,27.128347626418595,106.40922528355374,-1.939291108753962,0.18034509875794638,20468.67362997365,4853282.586671221,3357.201988115438,437660.0322697833
